s 124 | P(Si): 0.0001373291 | -log2(P(Si)): 12.8300749986 | Entropy: 0.0017619427  | Codeword: 000111111000 | CodeLength: 12 | AVG.Length: 0.0016479492 
s 125 | P(Si): 0.0001296997 | -log2(P(Si)): 12.9125371587 | Entropy: 0.0016747523  | Codeword: 000111001010 | CodeLength: 12 | AVG.Length: 0.0015563965 
s 126 | P(Si): 0.0001296997 | -log2(P(Si)): 12.9125371587 | Entropy: 0.0016747523  | Codeword: 000111001001 | CodeLength: 12 | AVG.Length: 0.0015563965 
s 127 | P(Si): 0.0001258850 | -log2(P(Si)): 12.9556058806 | Entropy: 0.0016309166  | Codeword: 000111001000 | CodeLength: 12 | AVG.Length: 0.0015106201 
s 128 | P(Si): 0.0001258850 | -log2(P(Si)): 12.9556058806 | Entropy: 0.0016309166  | Codeword: 000100001111 | CodeLength: 12 | AVG.Length: 0.0015106201 
s 129 | P(Si): 0.0001258850 | -log2(P(Si)): 12.9556058806 | Entropy: 0.0016309166  | Codeword: 000100001110 | CodeLength: 12 | AVG.Length: 0.0015106201 
s 130 | P(Si): 0.0001182556 | -log2(P(Si)): 13.0458036896 | Entropy: 0.0015427395  | Codeword: 000100000000 | CodeLength: 12 | AVG.Length: 0.0014190674 
s 131 | P(Si): 0.0001182556 | -log2(P(Si)): 13.0458036896 | Entropy: 0.0015427395  | Codeword: 000000110011 | CodeLength: 12 | AVG.Length: 0.0014190674 
s 132 | P(Si): 0.0001182556 | -log2(P(Si)): 13.0458036896 | Entropy: 0.0015427395  | Codeword: 000000110010 | CodeLength: 12 | AVG.Length: 0.0014190674 
s 133 | P(Si): 0.0001144409 | -log2(P(Si)): 13.0931094044 | Entropy: 0.0014983875  | Codeword: 000000100110 | CodeLength: 12 | AVG.Length: 0.0013732910 
s 134 | P(Si): 0.0001068115 | -log2(P(Si)): 13.1926450779 | Entropy: 0.0014091265  | Codeword: 100111010011 | CodeLength: 12 | AVG.Length: 0.0012817383 
s 135 | P(Si): 0.0001068115 | -log2(P(Si)): 13.1926450779 | Entropy: 0.0014091265  | Codeword: 100111010010 | CodeLength: 12 | AVG.Length: 0.0012817383 
s 136 | P(Si): 0.0001029968 | -log2(P(Si)): 13.2451124978 | Entropy: 0.0013642045  | Codeword: 100101001011 | CodeLength: 12 | AVG.Length: 0.0012359619 
s 137 | P(Si): 0.0000991821 | -log2(P(Si)): 13.2995602819 | Entropy: 0.0013190787  | Codeword: 100101001010 | CodeLength: 12 | AVG.Length: 0.0011901855 
s 138 | P(Si): 0.0000953674 | -log2(P(Si)): 13.3561438102 | Entropy: 0.0012737411  | Codeword: 010101101011 | CodeLength: 12 | AVG.Length: 0.0011444092 
s 139 | P(Si): 0.0000953674 | -log2(P(Si)): 13.3561438102 | Entropy: 0.0012737411  | Codeword: 010101101010 | CodeLength: 12 | AVG.Length: 0.0011444092 
s 140 | P(Si): 0.0000953674 | -log2(P(Si)): 13.3561438102 | Entropy: 0.0012737411  | Codeword: 100101001001 | CodeLength: 12 | AVG.Length: 0.0011444092 
s 141 | P(Si): 0.0000877380 | -log2(P(Si)): 13.4764380439 | Entropy: 0.0011823962  | Codeword: 001101110001 | CodeLength: 12 | AVG.Length: 0.0010528564 
s 142 | P(Si): 0.0000839233 | -log2(P(Si)): 13.5405683814 | Entropy: 0.0011363697  | Codeword: 001010101001 | CodeLength: 12 | AVG.Length: 0.0010070801 
s 143 | P(Si): 0.0000839233 | -log2(P(Si)): 13.5405683814 | Entropy: 0.0011363697  | Codeword: 001010101000 | CodeLength: 12 | AVG.Length: 0.0010070801 
s 144 | P(Si): 0.0000801086 | -log2(P(Si)): 13.6076825772 | Entropy: 0.0010900930  | Codeword: 1011000100111 | CodeLength: 13 | AVG.Length: 0.0010414124 
s 145 | P(Si): 0.0000762939 | -log2(P(Si)): 13.6780719051 | Entropy: 0.0010435541  | Codeword: 1011000100110 | CodeLength: 13 | AVG.Length: 0.0009918213 
s 146 | P(Si): 0.0000762939 | -log2(P(Si)): 13.6780719051 | Entropy: 0.0010435541  | Codeword: 1011000001101 | CodeLength: 13 | AVG.Length: 0.0009918213 
s 147 | P(Si): 0.0000686646 | -log2(P(Si)): 13.8300749986 | Entropy: 0.0009496359  | Codeword: 0001110010111 | CodeLength: 13 | AVG.Length: 0.0008926392 
s 148 | P(Si): 0.0000610352 | -log2(P(Si)): 14.0000000000 | Entropy: 0.0008544922  | Codeword: 0001000000011 | CodeLength: 13 | AVG.Length: 0.0007934570 
s 149 | P(Si): 0.0000610352 | -log2(P(Si)): 14.0000000000 | Entropy: 0.0008544922  | Codeword: 0001000000010 | CodeLength: 13 | AVG.Length: 0.0007934570 
s 150 | P(Si): 0.0000572205 | -log2(P(Si)): 14.0931094044 | Entropy: 0.0008064142  | Codeword: 0000001001110 | CodeLength: 13 | AVG.Length: 0.0007438660 
s 151 | P(Si): 0.0000495911 | -log2(P(Si)): 14.2995602819 | Entropy: 0.0007091304  | Codeword: 1001010010001 | CodeLength: 13 | AVG.Length: 0.0006446838 
s 152 | P(Si): 0.0000457764 | -log2(P(Si)): 14.4150374993 | Entropy: 0.0006598680  | Codeword: 1001010010000 | CodeLength: 13 | AVG.Length: 0.0005950928 
s 153 | P(Si): 0.0000457764 | -log2(P(Si)): 14.4150374993 | Entropy: 0.0006598680  | Codeword: 0011011110001 | CodeLength: 13 | AVG.Length: 0.0005950928 
s 154 | P(Si): 0.0000457764 | -log2(P(Si)): 14.4150374993 | Entropy: 0.0006598680  | Codeword: 0011011110000 | CodeLength: 13 | AVG.Length: 0.0005950928 
s 155 | P(Si): 0.0000457764 | -log2(P(Si)): 14.4150374993 | Entropy: 0.0006598680  | Codeword: 0011011110011 | CodeLength: 13 | AVG.Length: 0.0005950928 
